"text","urgency"
"A drainage channel is overflowing toward nearby shops.","urgent"
"A leaking pipe is weakening the foundation of a house.","urgent"
"The only public tap in the village has stopped working.","urgent"
"A sewer blockage is causing wastewater to enter several bathrooms.","urgent"
"A deep pothole on the main road has already damaged several vehicles.","urgent"
"The road surface has collapsed partially after heavy rain.","urgent"
"A traffic signal has been broken since this morning.","urgent"
"A fallen tree is blocking the only road to the village.","urgent"
"The bridge railing is damaged and needs prompt repair.","urgent"
"Construction debris is blocking half of a busy road.","urgent"
"A manhole cover is missing from a crowded street.","urgent"
"Flooding has made the road difficult and dangerous to use.","urgent"
"The pedestrian crossing lights are not functioning near the school.","urgent"
"Large cracks have appeared on the flyover surface.","urgent"
"Garbage has not been collected for a week and is attracting rats.","urgent"
"An overflowing dumpster is blocking the entrance to the clinic.","urgent"
"Sewage has been flowing onto the street since yesterday.","urgent"
"Rotting waste beside the market is creating a serious health problem.","urgent"
"The public toilet is overflowing and cannot be used safely.","urgent"
"Broken glass and sharp metal are scattered across the playground.","urgent"
"Waste collection has stopped throughout the neighborhood.","urgent"
"A blocked drain is causing wastewater to collect outside homes.","urgent"
"Illegal dumping is obstructing the stormwater drain before heavy rain.","urgent"
"A dead animal has been left beside the public food market.","urgent"
"There have been repeated thefts near the unlit bus stop.","urgent"
"A damaged boundary wall allows strangers to enter the school grounds.","urgent"
"A group is harassing pedestrians every evening near the station.","urgent"
"The emergency exit of the community hall is locked.","urgent"
"A large aggressive crowd is gathering and blocking the hospital entrance.","urgent"
"The fire extinguisher system in the public building is not working.","urgent"
"A dangerous stray dog has bitten two residents near the market.","urgent"
"The street camera near a high-crime area has stopped working.","urgent"
"A person has been following and threatening residents in the neighborhood.","urgent"
"The safety railing on a crowded public staircase is loose.","urgent"
"One streetlight near my house is not working.","normal"
"My electricity bill appears higher than usual this month.","normal"
"The power meter display is difficult to read.","normal"
"A streetlight remains on during the daytime.","normal"
"There are occasional short power interruptions in my building.","normal"
"I would like the electricity department to inspect an old meter.","normal"
"The streetlight is dim and may need a new bulb.","normal"
"Please provide information about applying for a new power connection.","normal"
"The electricity bill was delivered to the wrong address.","normal"
"Tree branches are touching an insulated power cable.","normal"
"A public tap has a slow drip.","normal"
"Water pressure is slightly lower than usual in the mornings.","normal"
"The water meter reading seems incorrect.","normal"
"Please repair a small leak beside the community garden.","normal"
"The public water tap handle is loose.","normal"
"I need information about applying for a water connection.","normal"
"Water supply arrives later than the published schedule.","normal"
"A drainage cover is making noise when vehicles pass over it.","normal"
"The water bill contains a minor address error.","normal"
"A park drinking fountain is not working.","normal"
"There is a small pothole on a quiet residential street.","normal"
"Road markings on our street are becoming faded.","normal"
"A speed breaker needs repainting.","normal"
"The sidewalk has a few loose paving stones.","normal"
"A road sign is tilted but still visible.","normal"
"Please add a street name sign at the corner.","normal"
"The curb near my house needs minor repair.","normal"
"A small patch of road becomes muddy after rain.","normal"
"The lane marking is missing on a short section of road.","normal"
"A parking sign has faded lettering.","normal"
"The garbage collection vehicle arrived later than scheduled.","normal"
"A small litter bin in the park is full.","normal"
"Some dry leaves need to be collected from the sidewalk.","normal"
"Residents need an additional recycling bin.","normal"
"The garbage bin lid is broken.","normal"
"A small amount of litter is present near the bus stop.","normal"
"Please publish the updated waste collection schedule.","normal"
"The public toilet needs routine cleaning.","normal"
"A recycling label has come off the community bin.","normal"
"Garden waste has been left for the next scheduled collection.","normal"
"A park bench has minor damage.","normal"
"The security light at the community center is dim.","normal"
"A public safety sign has faded and needs replacement.","normal"
"The park gate does not close smoothly.","normal"
"Please increase routine patrols near the market in the evening.","normal"
"A CCTV camera is pointing in the wrong direction.","normal"
"The pedestrian railing has peeling paint.","normal"
"A fire exit sign needs a new light.","normal"
"The community center first aid box needs restocking.","normal"
"A playground fence has a small gap that should be repaired.","normal"
