"text","category"
"Tap water in Harbor View is brown and has a bad smell for the past two days.","Water"
"An open manhole in the middle of Harbor View is a serious accident risk.","Roads"
"People are dumping construction waste illegally near Harbor View.","Waste"
"A suspicious unattended bag has been left at Hilltop Area.","Public Safety"
"A transformer near Hospital Road is making sparks and needs urgent inspection.","Electricity"
"Water pressure is too low for upper-floor residents in Market Square.","Water"
"Construction debris is blocking one lane at Market Square.","Roads"
"A pile of rotting garbage is blocking the footpath at Market Square.","Waste"
"Illegal street racing is taking place near East Garden at night.","Public Safety"
"Voltage is extremely low in homes around Industrial Area since this morning.","Electricity"
"A burst pipeline is flooding the road at West End.","Water"
"The footpath along West End is damaged and difficult for pedestrians to use.","Roads"
"The community bin in West End is broken and needs replacement.","Waste"
"The boundary wall of an abandoned building at Temple Street may collapse.","Public Safety"
"An electric pole at Meadow Block is leaning dangerously toward the road.","Electricity"
"The public drinking water tap at Rose Garden is broken.","Water"
"A traffic signal at the main junction in Rose Garden is not working.","Roads"
"Waste collection vehicles are skipping Rose Garden repeatedly.","Waste"
"A damaged playground structure in University Quarter could injure children.","Public Safety"
"Loose power cables are hanging over the footpath at Cedar Lane.","Electricity"
"Residents in Airport Road receive water for only a few minutes each day.","Water"
"Road repair work in Airport Road has been left unfinished since this morning.","Roads"
"Plastic and household trash are being burned in the open at Airport Road.","Waste"
"People are openly consuming alcohol and creating disturbances at Riverside Ward.","Public Safety"
"Residents of Central Avenue are facing frequent voltage fluctuations for nearly a week.","Electricity"
"Sewage appears to be mixing with the water supply in Lakeview Colony.","Water"
"The speed breaker at Lakeview Colony has no warning paint or sign.","Roads"
"The vacant plot near Lakeview Colony has become an illegal dumping site.","Waste"
"A large crowd is blocking the emergency entrance near Hospital Road.","Public Safety"
"The electricity meter at the community building in Old Town appears faulty.","Electricity"
"The overhead water tank serving School Street has not been cleaned for months.","Water"
"Rainwater is collecting in deep road depressions at School Street.","Roads"
"Medical waste has been discarded beside a public bin at School Street.","Waste"
"There is no security lighting around the public park at Industrial Area.","Public Safety"
"A loud blast came from the local transformer in Canal Road, followed by a blackout.","Electricity"
"A damaged valve near Bus Stand Road is wasting a large amount of water.","Water"
"A missing drain cover near Bus Stand Road makes the roadside unsafe.","Roads"
"The drain at Bus Stand Road is clogged with plastic waste and wrappers.","Waste"
"A stray animal behaving aggressively is chasing pedestrians at Meadow Block.","Public Safety"
"Only one phase of the power supply is working in Oak Avenue for the past two days.","Electricity"
"The scheduled water tanker has not arrived in Sunrise Apartments during peak hours.","Water"
"The approach road to Sunrise Apartments is full of cracks and loose gravel.","Roads"
"There are not enough public bins around Sunrise Apartments.","Waste"
"Firecrackers are being used dangerously close to homes in Cedar Lane.","Public Safety"
"Streetlights at the main crossing in Station Road stay dark at night.","Electricity"
"Drinking water supplied to Pine Road contains visible dirt particles.","Water"
"A fallen signboard is obstructing traffic at Pine Road.","Roads"
"Dead animal remains need to be removed from the roadside at Pine Road.","Waste"
"An abandoned vehicle at Central Avenue has been there for weeks and appears suspicious.","Public Safety"
"An exposed electrical junction box at North Colony is accessible to children.","Electricity"
"The hand pump at Green Park is not working for the past two days.","Water"
"The pedestrian crossing markings at Green Park have completely faded.","Roads"
"Garbage from nearby shops is scattered across Green Park every night.","Waste"
"A broken railing on the bridge at Old Town poses a fall hazard.","Public Safety"
"Power restoration at Church Road has still not happened since yesterday.","Electricity"
"Water collects around a leaking municipal connection in South Extension.","Water"
"Vehicles cannot pass easily because the road at South Extension has narrowed due to damage.","Roads"
"The waste bin at South Extension has no lid and smells very bad.","Waste"
"Unauthorized vendors are blocking the fire access lane at Canal Road.","Public Safety"
"Several streetlights along Harbor View flicker continuously after sunset.","Electricity"
"The main water line at Mill Lane needs repair because supply is interrupted daily.","Water"
"The newly paved section of Mill Lane is already developing potholes.","Roads"
"Street sweeping has not been done in Mill Lane for several nights.","Waste"
"A public building exit at Oak Avenue is locked during operating hours.","Public Safety"
"The overhead electricity wire at Market Square has fallen onto a tree branch.","Electricity"
"There is a strong chlorine taste in the tap water at Maple Street.","Water"
"A roadside trench at Maple Street was not filled after utility work.","Roads"
"Food waste is accumulating behind the market at Maple Street.","Waste"
"Residents report repeated thefts from parked vehicles in Station Road.","Public Safety"
"Unexpected power cuts are disrupting shops in West End for more than three days.","Electricity"
"Apartments in Hilltop Area are not receiving the announced morning water supply.","Water"
"The curb ramp at Hilltop Area is broken and inaccessible to wheelchair users.","Roads"
"A garbage truck spilled waste along Hilltop Area and did not clean it up.","Waste"
"A deep uncovered well near North Colony is accessible to children.","Public Safety"
"The transformer serving Rose Garden seems overloaded and overheats every evening.","Electricity"
"A public water tank in East Garden is overflowing continuously.","Water"
"There are no warning barriers around a deep excavation at East Garden.","Roads"
"Residents are leaving trash beside the full collection point in East Garden.","Waste"
"The emergency alarm in the community center at Church Road is not functioning.","Public Safety"
"A broken streetlight pole is blocking part of the sidewalk in Airport Road.","Electricity"
"The pipeline repair at Temple Street was incomplete and the leak has returned.","Water"
"The service road beside Temple Street needs resurfacing urgently.","Roads"
"Broken glass and cans are scattered in the public area at Temple Street.","Waste"
"Heavy vehicles are speeding through the residential streets of Harbor View.","Public Safety"
"Electricity supply in Lakeview Colony is unstable and household appliances are at risk.","Electricity"
"People in University Quarter need emergency drinking water because the supply has stopped.","Water"
"Uneven paving stones on the walkway at University Quarter are causing people to trip.","Roads"
"The compost collection service has stopped visiting University Quarter.","Waste"
"A threatening person is following pedestrians near Market Square and needs attention.","Public Safety"
"Please investigate: there has been no electricity in School Street for the past two days.","Electricity"
"Please investigate: there is no water supply in Riverside Ward during peak hours.","Water"
"Please investigate: a large pothole at Riverside Ward is causing vehicles to swerve dangerously.","Roads"
"Please investigate: garbage has not been collected from Riverside Ward during peak hours.","Waste"
"Please investigate: a group is fighting near West End and residents feel unsafe.","Public Safety"
"Please investigate: power keeps going off repeatedly in Bus Stand Road every evening.","Electricity"
"Please investigate: a water pipe is leaking heavily near Hospital Road.","Water"
"Please investigate: the road surface in Hospital Road has broken apart after the recent rain.","Roads"
"Please investigate: an overflowing waste bin at Hospital Road is attracting flies and stray dogs.","Waste"
"Please investigate: there have been repeated incidents of harassment around Rose Garden after dark.","Public Safety"
"Please investigate: the streetlights near Sunrise Apartments are not working for several nights.","Electricity"
"Please investigate: tap water in Industrial Area is brown and has a bad smell for the past two days.","Water"
"Please investigate: an open manhole in the middle of Industrial Area is a serious accident risk.","Roads"
"Please investigate: people are dumping construction waste illegally near Industrial Area.","Waste"
"Please investigate: a suspicious unattended bag has been left at Airport Road.","Public Safety"
"Please investigate: a transformer near Pine Road is making sparks and needs urgent inspection.","Electricity"
"Please investigate: water pressure is too low for upper-floor residents in Meadow Block.","Water"
"Please investigate: construction debris is blocking one lane at Meadow Block.","Roads"
"Please investigate: a pile of rotting garbage is blocking the footpath at Meadow Block.","Waste"
"Please investigate: illegal street racing is taking place near Lakeview Colony at night.","Public Safety"
"Please investigate: voltage is extremely low in homes around Green Park since this morning.","Electricity"
"Please investigate: a burst pipeline is flooding the road at Cedar Lane.","Water"
"Please investigate: the footpath along Cedar Lane is damaged and difficult for pedestrians to use.","Roads"
"Please investigate: the community bin in Cedar Lane is broken and needs replacement.","Waste"
"Please investigate: the boundary wall of an abandoned building at School Street may collapse.","Public Safety"
"Please investigate: an electric pole at South Extension is leaning dangerously toward the road.","Electricity"
"Please investigate: the public drinking water tap at Central Avenue is broken.","Water"
"Please investigate: a traffic signal at the main junction in Central Avenue is not working.","Roads"
"Please investigate: waste collection vehicles are skipping Central Avenue repeatedly.","Waste"
"Please investigate: a damaged playground structure in Bus Stand Road could injure children.","Public Safety"
"Please investigate: loose power cables are hanging over the footpath at Mill Lane.","Electricity"
"Please investigate: residents in Old Town receive water for only a few minutes each day.","Water"
"Please investigate: road repair work in Old Town has been left unfinished since this morning.","Roads"
"Please investigate: plastic and household trash are being burned in the open at Old Town.","Waste"
"Please investigate: people are openly consuming alcohol and creating disturbances at Sunrise Apartments.","Public Safety"
"Please investigate: residents of Maple Street are facing frequent voltage fluctuations for nearly a week.","Electricity"
"Please investigate: sewage appears to be mixing with the water supply in Canal Road.","Water"
"Please investigate: the speed breaker at Canal Road has no warning paint or sign.","Roads"
"Please investigate: the vacant plot near Canal Road has become an illegal dumping site.","Waste"
"Please investigate: a large crowd is blocking the emergency entrance near Pine Road.","Public Safety"
"Please investigate: the electricity meter at the community building in Hilltop Area appears faulty.","Electricity"
"Please investigate: the overhead water tank serving Oak Avenue has not been cleaned for months.","Water"
"Please investigate: rainwater is collecting in deep road depressions at Oak Avenue.","Roads"
"Please investigate: medical waste has been discarded beside a public bin at Oak Avenue.","Waste"
"Please investigate: there is no security lighting around the public park at Green Park.","Public Safety"
"Please investigate: a loud blast came from the local transformer in East Garden, followed by a blackout.","Electricity"
"Please investigate: a damaged valve near Station Road is wasting a large amount of water.","Water"
"Please investigate: a missing drain cover near Station Road makes the roadside unsafe.","Roads"
"Please investigate: the drain at Station Road is clogged with plastic waste and wrappers.","Waste"
"Please investigate: a stray animal behaving aggressively is chasing pedestrians at South Extension.","Public Safety"
"Please investigate: only one phase of the power supply is working in Temple Street for the past two days.","Electricity"
"Please investigate: the scheduled water tanker has not arrived in North Colony during peak hours.","Water"
"Please investigate: the approach road to North Colony is full of cracks and loose gravel.","Roads"
"Please investigate: there are not enough public bins around North Colony.","Waste"
"Please investigate: firecrackers are being used dangerously close to homes in Mill Lane.","Public Safety"
"Please investigate: streetlights at the main crossing in University Quarter stay dark at night.","Electricity"
"Please investigate: drinking water supplied to Church Road contains visible dirt particles.","Water"
"Please investigate: a fallen signboard is obstructing traffic at Church Road.","Roads"
"Please investigate: dead animal remains need to be removed from the roadside at Church Road.","Waste"
"Please investigate: an abandoned vehicle at Maple Street has been there for weeks and appears suspicious.","Public Safety"
"Please investigate: an exposed electrical junction box at Riverside Ward is accessible to children.","Electricity"
"Please investigate: the hand pump at Harbor View is not working for the past two days.","Water"
"Please investigate: the pedestrian crossing markings at Harbor View have completely faded.","Roads"
"Please investigate: garbage from nearby shops is scattered across Harbor View every night.","Waste"
"Please investigate: a broken railing on the bridge at Hilltop Area poses a fall hazard.","Public Safety"
"Please investigate: power restoration at Hospital Road has still not happened since yesterday.","Electricity"
"Please investigate: water collects around a leaking municipal connection in Market Square.","Water"
"Please investigate: vehicles cannot pass easily because the road at Market Square has narrowed due to damage.","Roads"
"Please investigate: the waste bin at Market Square has no lid and smells very bad.","Waste"
"Please investigate: unauthorized vendors are blocking the fire access lane at East Garden.","Public Safety"
"Please investigate: several streetlights along Industrial Area flicker continuously after sunset.","Electricity"
"Please investigate: the main water line at West End needs repair because supply is interrupted daily.","Water"
"Please investigate: the newly paved section of West End is already developing potholes.","Roads"
"Please investigate: street sweeping has not been done in West End for several nights.","Waste"
"Please investigate: a public building exit at Temple Street is locked during operating hours.","Public Safety"
"Please investigate: the overhead electricity wire at Meadow Block has fallen onto a tree branch.","Electricity"
"Please investigate: there is a strong chlorine taste in the tap water at Rose Garden.","Water"
"Please investigate: a roadside trench at Rose Garden was not filled after utility work.","Roads"
"Please investigate: food waste is accumulating behind the market at Rose Garden.","Waste"
"Please investigate: residents report repeated thefts from parked vehicles in University Quarter.","Public Safety"
"Please investigate: unexpected power cuts are disrupting shops in Cedar Lane for more than three days.","Electricity"
"Please investigate: apartments in Airport Road are not receiving the announced morning water supply.","Water"
"Please investigate: the curb ramp at Airport Road is broken and inaccessible to wheelchair users.","Roads"
"Please investigate: a garbage truck spilled waste along Airport Road and did not clean it up.","Waste"
"Please investigate: a deep uncovered well near Riverside Ward is accessible to children.","Public Safety"
"Please investigate: the transformer serving Central Avenue seems overloaded and overheats every evening.","Electricity"
"Please investigate: a public water tank in Lakeview Colony is overflowing continuously.","Water"
"Please investigate: there are no warning barriers around a deep excavation at Lakeview Colony.","Roads"
"Please investigate: residents are leaving trash beside the full collection point in Lakeview Colony.","Waste"
"Please investigate: the emergency alarm in the community center at Hospital Road is not functioning.","Public Safety"
"Please investigate: a broken streetlight pole is blocking part of the sidewalk in Old Town.","Electricity"
"Please investigate: the pipeline repair at School Street was incomplete and the leak has returned.","Water"
"Please investigate: the service road beside School Street needs resurfacing urgently.","Roads"
"Please investigate: broken glass and cans are scattered in the public area at School Street.","Waste"
"Please investigate: heavy vehicles are speeding through the residential streets of Industrial Area.","Public Safety"
"Please investigate: electricity supply in Canal Road is unstable and household appliances are at risk.","Electricity"
"Please investigate: people in Bus Stand Road need emergency drinking water because the supply has stopped.","Water"
"Please investigate: uneven paving stones on the walkway at Bus Stand Road are causing people to trip.","Roads"
"Please investigate: the compost collection service has stopped visiting Bus Stand Road.","Waste"
"Please investigate: a threatening person is following pedestrians near Meadow Block and needs attention.","Public Safety"
"Please investigate: there has been no electricity in Oak Avenue for the past two days. Multiple residents have reported the same issue.","Electricity"
"Please investigate: there is no water supply in Sunrise Apartments during peak hours. Multiple residents have reported the same issue.","Water"
"Please investigate: a large pothole at Sunrise Apartments is causing vehicles to swerve dangerously. Multiple residents have reported the same issue.","Roads"
"Please investigate: garbage has not been collected from Sunrise Apartments during peak hours. Multiple residents have reported the same issue.","Waste"
"Please investigate: a group is fighting near Cedar Lane and residents feel unsafe. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: power keeps going off repeatedly in Station Road every evening. Multiple residents have reported the same issue.","Electricity"
"Please investigate: a water pipe is leaking heavily near Pine Road. Multiple residents have reported the same issue.","Water"
"Please investigate: the road surface in Pine Road has broken apart after the recent rain. Multiple residents have reported the same issue.","Roads"
"Please investigate: an overflowing waste bin at Pine Road is attracting flies and stray dogs. Multiple residents have reported the same issue.","Waste"
"Please investigate: there have been repeated incidents of harassment around Central Avenue after dark. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: the streetlights near North Colony are not working for several nights. Multiple residents have reported the same issue.","Electricity"
"Please investigate: tap water in Green Park is brown and has a bad smell for the past two days. Multiple residents have reported the same issue.","Water"
"Please investigate: an open manhole in the middle of Green Park is a serious accident risk. Multiple residents have reported the same issue.","Roads"
"Please investigate: people are dumping construction waste illegally near Green Park. Multiple residents have reported the same issue.","Waste"
"Please investigate: a suspicious unattended bag has been left at Old Town. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: a transformer near Church Road is making sparks and needs urgent inspection. Multiple residents have reported the same issue.","Electricity"
"Please investigate: water pressure is too low for upper-floor residents in South Extension. Multiple residents have reported the same issue.","Water"
"Please investigate: construction debris is blocking one lane at South Extension. Multiple residents have reported the same issue.","Roads"
"Please investigate: a pile of rotting garbage is blocking the footpath at South Extension. Multiple residents have reported the same issue.","Waste"
"Please investigate: illegal street racing is taking place near Canal Road at night. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: voltage is extremely low in homes around Harbor View since this morning. Multiple residents have reported the same issue.","Electricity"
